0	0.63398427	0.343447434
3	0.3779155	0.269847088
6	0.23956907	0.174810709
9	0.18538885	0.094288256
12	0.13229324	0.148192869
15	0.11729101	0.158279121
18	0.10595323	0.110473835
21	0.09056986	0.081309902
24	0.085716754	0.105729347
27	0.08475333	0.08257399
30	0.0775138	0.077571431
33	0.07367148	0.077586991
36	0.072585106	0.092706356
39	0.07124238	0.083530564
42	0.068967015	0.072372737
45	0.067021705	0.078417705
48	0.06683967	0.087433336
51	0.06504417	0.065919564
54	0.0641073	0.079605263
57	0.06367338	0.070753991
60	0.062432062	0.073562503
63	0.06072481	0.065179211
66	0.06000641	0.079239778
69	0.061671957	0.068527787
72	0.058376342	0.10012929
75	0.05854206	0.068266298
78	0.05728146	0.075791623
