0,0.779751,0.8743375559299016
3,0.48519516,0.6984836111508546
6,0.30394444,0.4228733605984727
9,0.24908528,0.34017183273941487
12,0.23268147,0.32859592292058215
15,0.19714189,0.11553536898165026
18,0.19933127,0.10619790755411455
21,0.19233795,0.1661205794666385
24,0.18622963,0.2285405892999432
27,0.17387855,0.25547619122828735
30,0.15771468,0.11585584332403699
33,0.16579936,0.12409696893798378
36,0.12722887,0.12038908041921936
39,0.13491234,0.154990577475475
42,0.10887869,0.1510073098243131
45,0.10218995,0.13924656635517993
48,0.09645829,0.13498109173433143
51,0.10281129,0.1839938238559565
54,0.08389409,0.17508286649855512
57,0.078696646,0.1053942888007833
60,0.082689926,0.1392395076144767
63,0.076954275,0.10594146829774864
66,0.076871336,0.1338965757342859
69,0.07742054,0.1722779686971426
72,0.07651676,0.14875965986609663
75,0.07529525,0.1160149938493914
78,0.066668384,0.1055030675225965
